Date,Close
10/7/2010,15.44
10/8/2010,15.55
10/11/2010,15.59
10/12/2010,15.6
10/13/2010,15.66
10/14/2010,15.59
10/15/2010,15.7
10/18/2010,15.7
10/19/2010,15.46
10/20/2010,15.65
10/21/2010,15.78
10/22/2010,15.86
10/25/2010,15.94
10/26/2010,16.02
10/27/2010,15.98
10/28/2010,16.05
10/29/2010,16.06
11/1/2010,16.04
11/2/2010,16.22
11/3/2010,16.28
11/4/2010,16.5
11/5/2010,16.55
11/8/2010,16.52
11/9/2010,16.4
11/10/2010,16.47
11/11/2010,16.46
11/12/2010,16.3
11/15/2010,16.23
11/16/2010,16.06
11/17/2010,16.14
11/18/2010,16.31
11/19/2010,16.4
11/22/2010,16.48
11/23/2010,16.28
11/24/2010,16.59
11/26/2010,16.52
11/29/2010,16.45
11/30/2010,16.39
12/1/2010,16.68
12/2/2010,16.82
12/3/2010,16.85
12/6/2010,16.85
12/7/2010,16.86
12/8/2010,16.85
12/9/2010,16.86
12/10/2010,16.93
12/13/2010,16.82
12/14/2010,16.81
12/15/2010,16.75
12/16/2010,16.89
12/17/2010,16.9
12/20/2010,16.96
12/21/2010,17.01
12/22/2010,17
12/23/2010,16.98
12/27/2010,16.93
12/28/2010,16.91
12/29/2010,16.97
12/30/2010,16.98
12/31/2010,16.92
1/3/2011,17.08
1/4/2011,17.01
1/5/2011,17.11
1/6/2011,17
1/7/2011,17
1/10/2011,16.99
1/11/2011,16.97
1/12/2011,17.02
1/13/2011,17
1/14/2011,17.11
1/18/2011,17.15
1/19/2011,16.98
1/20/2011,17.1
1/21/2011,17.1
1/24/2011,17.18
1/25/2011,17.19
1/26/2011,17.23
1/27/2011,17.33
1/28/2011,16.9
1/31/2011,16.91
2/1/2011,17.17
2/2/2011,17.12
2/3/2011,17.3
2/4/2011,17.35
2/7/2011,17.39
2/8/2011,17.58
2/9/2011,17.66
2/10/2011,17.7
2/11/2011,17.86
2/14/2011,17.79
2/15/2011,17.82
2/16/2011,17.93
2/17/2011,17.99
2/18/2011,18.04
2/22/2011,17.61
2/23/2011,17.38
2/24/2011,17.43
2/25/2011,17.6
2/28/2011,17.7
3/1/2011,17.41
3/2/2011,17.44
3/3/2011,17.73
3/4/2011,17.6
3/7/2011,17.45
3/8/2011,17.59
3/9/2011,17.65
3/10/2011,17.49
3/11/2011,17.56
3/14/2011,17.37
3/15/2011,17.22
3/16/2011,16.97
3/17/2011,17.01
3/18/2011,17.06
3/21/2011,17.32
3/22/2011,17.19
3/23/2011,17.32
3/24/2011,17.54
3/25/2011,17.53
3/28/2011,17.37
3/29/2011,17.52
3/30/2011,17.72
3/31/2011,17.65
4/1/2011,17.77
4/4/2011,17.79
4/5/2011,17.87
4/6/2011,17.88
4/7/2011,17.84
4/8/2011,17.75
4/11/2011,17.74
4/12/2011,17.73
4/13/2011,17.75
4/14/2011,17.73
4/15/2011,17.85
4/18/2011,17.7
4/19/2011,17.75
4/20/2011,18
4/21/2011,18.08
4/25/2011,18.07
4/26/2011,18.13
4/27/2011,18.33
4/28/2011,18.36
4/29/2011,18.38
5/2/2011,18.43
5/3/2011,18.37
5/4/2011,18.29
5/5/2011,18.28
5/6/2011,18.3
5/9/2011,18.37
5/10/2011,18.61
5/11/2011,18.49
5/12/2011,18.64
5/13/2011,18.54
5/16/2011,18.3
5/17/2011,18.33
5/18/2011,18.52
5/19/2011,18.55
5/20/2011,18.4
5/23/2011,18.25
5/24/2011,18.14
5/25/2011,18.14
5/26/2011,18.28
5/27/2011,18.33
5/31/2011,18.42
6/1/2011,18.06
6/2/2011,18.02
6/3/2011,17.8
6/6/2011,17.6
6/7/2011,17.63
6/8/2011,17.53
6/9/2011,17.65
6/10/2011,17.35
6/13/2011,17.33
6/14/2011,17.57
6/15/2011,17.34
6/16/2011,17.35
6/17/2011,17.44
6/20/2011,17.58
6/21/2011,17.89
6/22/2011,17.74
6/23/2011,17.78
6/24/2011,17.53
6/27/2011,17.72
6/28/2011,17.98
6/29/2011,18.09
6/30/2011,18.24
7/1/2011,18.55
7/5/2011,18.59
