Date,Close
10/7/2010,54.52
10/8/2010,55.17
10/11/2010,55.33
10/12/2010,55.5
10/13/2010,55.65
10/14/2010,55.41
10/15/2010,55.73
10/18/2010,55.69
10/19/2010,54.81
10/20/2010,55.47
10/21/2010,55.73
10/22/2010,56.07
10/25/2010,56.4
10/26/2010,56.71
10/27/2010,56.38
10/28/2010,56.58
10/29/2010,56.63
11/1/2010,56.52
11/2/2010,57.26
11/3/2010,57.46
11/4/2010,58.42
11/5/2010,58.76
11/8/2010,58.75
11/9/2010,58.16
11/10/2010,58.61
11/11/2010,58.59
11/12/2010,57.89
11/15/2010,57.77
11/16/2010,56.97
11/17/2010,57.47
11/18/2010,58.05
11/19/2010,58.41
11/22/2010,58.71
11/23/2010,57.98
11/24/2010,59.16
11/26/2010,58.95
11/29/2010,58.62
11/30/2010,58.49
12/1/2010,59.62
12/2/2010,60.33
12/3/2010,60.54
12/6/2010,60.62
12/7/2010,60.6
12/8/2010,60.55
12/9/2010,60.61
12/10/2010,60.9
12/13/2010,60.52
12/14/2010,60.43
12/15/2010,60.2
12/16/2010,60.72
12/17/2010,60.84
12/20/2010,61.19
12/21/2010,61.5
12/22/2010,60.97
12/23/2010,60.77
12/27/2010,60.64
12/28/2010,60.43
12/29/2010,60.62
12/30/2010,60.64
12/31/2010,60.47
1/3/2011,61.19
1/4/2011,60.78
1/5/2011,61.29
1/6/2011,60.91
1/7/2011,60.8
1/10/2011,60.84
1/11/2011,60.72
1/12/2011,60.94
1/13/2011,60.78
1/14/2011,61.22
1/18/2011,61.28
1/19/2011,60.55
1/20/2011,60.63
1/21/2011,60.65
1/24/2011,60.99
1/25/2011,60.93
1/26/2011,61.12
1/27/2011,61.63
1/28/2011,59.79
1/31/2011,59.89
2/1/2011,60.72
2/2/2011,60.48
2/3/2011,61.19
2/4/2011,61.57
2/7/2011,61.96
2/8/2011,62.68
2/9/2011,62.96
2/10/2011,63.14
2/11/2011,63.77
2/14/2011,63.6
2/15/2011,63.54
2/16/2011,64.13
2/17/2011,64.28
2/18/2011,64.47
2/22/2011,62.88
2/23/2011,61.89
2/24/2011,62.11
2/25/2011,62.95
2/28/2011,63.22
3/1/2011,62.07
3/2/2011,62.37
3/3/2011,63.48
3/4/2011,63
3/7/2011,62.36
3/8/2011,62.89
3/9/2011,63.07
3/10/2011,62.3
