Date,Close
10/7/2010,34.01
10/8/2010,34.36
10/11/2010,34.37
10/12/2010,34.45
10/13/2010,34.5
10/14/2010,34.46
10/15/2010,34.71
10/18/2010,34.76
10/19/2010,34.13
10/20/2010,34.57
10/21/2010,34.77
10/22/2010,34.96
10/25/2010,35.18
10/26/2010,35.33
10/27/2010,35.11
10/28/2010,35.27
10/29/2010,35.26
11/1/2010,35.19
11/2/2010,35.59
11/3/2010,35.77
11/4/2010,36.33
11/5/2010,36.51
11/8/2010,36.45
11/9/2010,36.12
11/10/2010,36.44
11/11/2010,36.39
11/12/2010,36.01
11/15/2010,35.94
11/16/2010,35.45
11/17/2010,35.76
11/18/2010,36.07
11/19/2010,36.24
11/22/2010,36.41
11/23/2010,35.87
11/24/2010,36.61
11/26/2010,36.4
11/29/2010,36.23
11/30/2010,36.15
12/1/2010,36.92
12/2/2010,37.4
12/3/2010,37.42
12/6/2010,37.46
12/7/2010,37.48
12/8/2010,37.38
12/9/2010,37.43
12/10/2010,37.56
12/13/2010,37.38
12/14/2010,37.37
12/15/2010,37.25
12/16/2010,37.52
12/17/2010,37.36
12/20/2010,37.58
12/21/2010,37.74
12/22/2010,37.79
12/23/2010,37.63
12/27/2010,37.52
12/28/2010,37.44
12/29/2010,37.56
12/30/2010,37.49
12/31/2010,37.41
1/3/2011,37.85
1/4/2011,37.64
1/5/2011,37.95
1/6/2011,37.72
1/7/2011,37.7
1/10/2011,37.67
1/11/2011,37.66
1/12/2011,37.75
1/13/2011,37.69
1/14/2011,37.92
1/18/2011,38.03
1/19/2011,37.65
1/20/2011,37.73
1/21/2011,37.82
1/24/2011,37.97
1/25/2011,37.99
1/26/2011,38.05
1/27/2011,38.35
1/28/2011,37.1
1/31/2011,37.18
2/1/2011,37.62
2/2/2011,37.51
2/3/2011,37.95
2/4/2011,38.21
2/7/2011,38.41
2/8/2011,38.87
2/9/2011,39.13
2/10/2011,39.18
2/11/2011,39.58
2/14/2011,39.42
2/15/2011,39.47
2/16/2011,39.79
2/17/2011,39.8
2/18/2011,40.01
2/22/2011,39.05
2/23/2011,38.48
2/24/2011,38.71
2/25/2011,39.11
2/28/2011,39.41
3/1/2011,38.66
3/2/2011,38.81
3/3/2011,39.5
3/4/2011,39.21
3/7/2011,38.82
3/8/2011,39.13
3/9/2011,39.22
3/10/2011,38.77
3/11/2011,39.01
3/14/2011,38.53
3/15/2011,38.21
3/16/2011,37.56
3/17/2011,37.73
3/18/2011,37.58
3/21/2011,38.16
3/22/2011,37.86
3/23/2011,38.19
3/24/2011,38.75
3/25/2011,38.82
3/28/2011,38.42
3/29/2011,38.77
3/30/2011,39.19
3/31/2011,39.05
4/1/2011,39.3
4/4/2011,39.39
4/5/2011,39.52
4/6/2011,39.45
4/7/2011,39.29
4/8/2011,39.06
4/11/2011,39.07
4/12/2011,39.02
4/13/2011,39.15
4/14/2011,39.06
4/15/2011,39.25
4/18/2011,38.9
4/19/2011,38.99
4/20/2011,39.69
4/21/2011,39.91
4/25/2011,39.87
4/26/2011,39.94
4/27/2011,40.42
4/28/2011,40.58
4/29/2011,40.55
5/2/2011,40.69
5/3/2011,40.46
5/4/2011,40.37
5/5/2011,40.26
5/6/2011,40.29
5/9/2011,40.34
5/10/2011,40.86
5/11/2011,40.47
5/12/2011,40.87
5/13/2011,40.56
5/16/2011,40.02
5/17/2011,40.06
5/18/2011,40.53
5/19/2011,40.66
5/20/2011,40.27
5/23/2011,39.89
5/24/2011,39.69
5/25/2011,39.7
5/26/2011,40.06
5/27/2011,40.16
5/31/2011,40.44
6/1/2011,39.52
6/2/2011,39.43
6/3/2011,38.92
6/6/2011,38.51
6/7/2011,38.55
6/8/2011,38.25
6/9/2011,38.57
6/10/2011,37.86
6/13/2011,37.81
6/14/2011,38.48
6/15/2011,37.89
6/16/2011,37.8
6/17/2011,37.95
6/20/2011,38.26
6/21/2011,39.04
6/22/2011,38.74
6/23/2011,38.88
6/24/2011,38.5
6/27/2011,38.97
6/28/2011,39.71
6/29/2011,39.89
6/30/2011,40.21
7/1/2011,41.02
7/5/2011,41.2
7/6/2011,41.05
7/7/2011,41.62
7/8/2011,41.37
7/11/2011,40.57
7/12/2011,40.37
7/13/2011,40.58
7/14/2011,40.27
7/15/2011,40.29
7/18/2011,39.9
7/19/2011,40.67
7/20/2011,40.46
7/21/2011,40.93
7/22/2011,41.09
7/25/2011,40.82
7/26/2011,40.75
7/27/2011,40.04
7/28/2011,39.84
7/29/2011,39.65
8/1/2011,39.44
8/2/2011,37.95
8/3/2011,38.23
8/4/2011,36.37
8/5/2011,36.34
8/8/2011,34.06
8/9/2011,35.64
8/10/2011,34.12
8/11/2011,35.63
8/12/2011,36.07
8/15/2011,36.6
8/16/2011,36.4
8/17/2011,36.35
8/18/2011,34.55
8/19/2011,34.05
8/22/2011,34.15
8/23/2011,35.47
8/24/2011,36.1
8/25/2011,35.38
8/26/2011,36.12
8/29/2011,37.17
8/30/2011,37.34
8/31/2011,37.57
9/1/2011,37.11
9/2/2011,36.06
9/6/2011,35.95
9/7/2011,36.88
9/8/2011,36.38
9/9/2011,35.42
9/12/2011,35.84
9/13/2011,36.26
9/14/2011,36.86
9/15/2011,37.48
9/16/2011,37.77
9/19/2011,37.7
9/20/2011,37.5
9/21/2011,36.29
9/22/2011,35.2
9/23/2011,35.73
9/26/2011,36.57
9/27/2011,36.82
9/28/2011,36.19
9/29/2011,35.89
9/30/2011,34.86
10/3/2011,33.84
10/4/2011,34.91
10/5/2011,35.55
10/6/2011,36.38
10/7/2011,36.35
10/10/2011,37.58
10/11/2011,37.74
10/12/2011,38.08
10/13/2011,38.05
10/14/2011,38.67
10/17/2011,37.88
10/18/2011,38.65
10/19/2011,38.07
10/20/2011,38.26
10/21/2011,39.32
10/24/2011,39.9
10/25/2011,39.03
10/26/2011,38.88
10/27/2011,39.94
10/28/2011,39.63
10/31/2011,39.02
11/1/2011,38.18
11/2/2011,38.57
11/3/2011,39.07
11/4/2011,38.92
11/7/2011,39.17
11/8/2011,39.55
11/9/2011,38.14
11/10/2011,38.5
11/11/2011,39.47
11/14/2011,39.18
11/15/2011,39.32
11/16/2011,38.58
11/17/2011,37.9
11/18/2011,37.88
11/21/2011,37.29
11/22/2011,37.27
11/23/2011,36.53
11/25/2011,36.33
11/28/2011,37.44
11/29/2011,37.57
11/30/2011,38.74
12/1/2011,38.77
12/2/2011,39.07
12/5/2011,39.43
12/6/2011,39.3
12/7/2011,39.55
12/8/2011,38.71
12/9/2011,39.35
12/12/2011,39.23
12/13/2011,38.46
12/14/2011,38.06
12/15/2011,38.12
12/16/2011,37.9
12/19/2011,37.48
12/20/2011,38.51
12/21/2011,38.64
12/22/2011,38.75
12/23/2011,39.18
12/27/2011,39.3
12/28/2011,38.87
12/29/2011,39.27
12/30/2011,39.02
1/3/2012,39.35
1/4/2012,39.66
1/5/2012,39.99
1/6/2012,40.05
1/9/2012,39.99
1/10/2012,40.25
1/11/2012,40.31
1/12/2012,40.43
1/13/2012,40.38
1/17/2012,40.49
1/18/2012,41.14
1/19/2012,41.5
1/20/2012,41.16
1/23/2012,41.13
1/24/2012,41.25
1/25/2012,41.55
1/26/2012,41.48
1/27/2012,41.45
1/30/2012,41.33
1/31/2012,41.32
2/1/2012,41.46
2/2/2012,41.41
2/3/2012,42.26
2/6/2012,42.17
2/7/2012,42.37
2/8/2012,42.47
2/9/2012,42.54
2/10/2012,42.31
2/13/2012,42.65
2/14/2012,42.6
2/15/2012,42.41
2/16/2012,42.59
2/17/2012,42.96
2/21/2012,42.81
2/22/2012,42.7
2/23/2012,42.91
2/24/2012,42.86
2/27/2012,43.11
2/28/2012,43.35
2/29/2012,43.19
3/1/2012,43.55
3/2/2012,43.52
3/5/2012,43.48
3/6/2012,42.8
3/7/2012,43.29
3/8/2012,43.73
3/9/2012,43.98
3/12/2012,43.86
3/13/2012,44.54
3/14/2012,44.48
3/15/2012,44.63
3/16/2012,44.35
3/19/2012,44.58
3/20/2012,44.66
3/21/2012,44.71
3/22/2012,44.6
3/23/2012,44.65
3/26/2012,45.36
3/27/2012,45.29
3/28/2012,44.9
3/29/2012,44.89
3/30/2012,45.09
4/2/2012,45.21
4/3/2012,45.12
4/4/2012,44.7
4/5/2012,45.01
4/9/2012,44.6
4/10/2012,43.51
4/11/2012,44.11
4/12/2012,44.67
4/13/2012,44.55
4/16/2012,44.39
4/17/2012,44.93
4/18/2012,44.93
4/19/2012,44.57
4/20/2012,44.64
4/23/2012,44.16
4/24/2012,44.01
4/25/2012,44.75
4/26/2012,45.31
4/27/2012,45.87
4/30/2012,45.61
5/1/2012,45.91
5/2/2012,46.16
5/3/2012,45.8
5/4/2012,44.91
5/7/2012,44.89
5/8/2012,44.35
5/9/2012,44.18
5/10/2012,44.33
5/11/2012,44.24
5/14/2012,43.62
5/15/2012,43.55
5/16/2012,43.48
5/17/2012,42.33
5/18/2012,42.01
5/21/2012,42.75
5/22/2012,42.92
5/23/2012,43.15
5/24/2012,43.35
5/25/2012,43.28
5/29/2012,43.88
5/30/2012,43.19
5/31/2012,43.1
6/1/2012,41.74
6/4/2012,41.89
6/5/2012,42.12
6/6/2012,43.03
6/7/2012,43.03
6/8/2012,43.41
6/11/2012,42.75
6/12/2012,43.21
6/13/2012,42.58
6/14/2012,43.15
6/15/2012,43.42
6/18/2012,43.73
6/19/2012,44.13
6/20/2012,44.08
6/21/2012,43.12
6/22/2012,43.31
6/25/2012,42.64
6/26/2012,43.17
6/27/2012,43.11
6/28/2012,42.87
6/29/2012,43.78
