Date,Close
10/7/2010,16.59
10/8/2010,16.65
10/11/2010,16.66
10/12/2010,16.71
10/13/2010,16.9
10/14/2010,16.99
10/15/2010,17.03
10/18/2010,17.08
10/19/2010,16.88
10/20/2010,17.01
10/21/2010,17.02
10/22/2010,17.3
10/25/2010,17.26
10/26/2010,17.31
10/27/2010,17.12
10/28/2010,17.22
10/29/2010,17.25
11/1/2010,17.26
11/2/2010,17.39
11/3/2010,17.45
11/4/2010,17.61
11/5/2010,17.76
11/8/2010,17.79
11/9/2010,17.65
11/10/2010,17.68
11/11/2010,17.7
11/12/2010,17.6
11/15/2010,17.62
11/16/2010,17.35
11/17/2010,17.45
11/18/2010,17.74
11/19/2010,17.88
11/22/2010,17.96
11/23/2010,17.77
11/24/2010,18.01
11/26/2010,18.01
11/29/2010,17.89
11/30/2010,17.85
12/1/2010,18.12
12/2/2010,18.26
12/3/2010,18.26
12/6/2010,18.23
12/7/2010,18.25
12/8/2010,18.26
12/9/2010,18.26
12/10/2010,18.3
12/13/2010,18.25
12/14/2010,18.34
12/15/2010,18.4
12/16/2010,18.54
12/17/2010,18.52
12/20/2010,18.49
12/21/2010,18.57
12/22/2010,18.5
12/23/2010,18.5
12/27/2010,18.44
12/28/2010,18.35
12/29/2010,18.35
12/30/2010,18.35
12/31/2010,18.23
1/3/2011,18.32
1/4/2011,18.05
1/5/2011,18.25
1/6/2011,18.09
1/7/2011,18.05
1/10/2011,18.08
1/11/2011,18.04
1/12/2011,18.18
1/13/2011,18.16
1/14/2011,18.11
1/18/2011,18.21
1/19/2011,18.06
1/20/2011,18.09
1/21/2011,18
1/24/2011,18.04
1/25/2011,17.96
1/26/2011,17.98
1/27/2011,17.89
1/28/2011,17.54
1/31/2011,17.57
2/1/2011,17.78
2/2/2011,17.76
2/3/2011,17.98
2/4/2011,18.06
2/7/2011,18.03
2/8/2011,18.17
2/9/2011,18.14
2/10/2011,18.07
2/11/2011,18.28
2/14/2011,18.3
2/15/2011,18.3
2/16/2011,18.44
2/17/2011,18.58
2/18/2011,18.56
2/22/2011,18.29
2/23/2011,18.2
2/24/2011,18.2
2/25/2011,18.46
2/28/2011,18.5
3/1/2011,18.28
3/2/2011,18.29
3/3/2011,18.54
3/4/2011,18.53
3/7/2011,18.43
3/8/2011,18.66
3/9/2011,18.73
3/10/2011,18.66
3/11/2011,18.65
3/14/2011,18.45
3/15/2011,18.27
3/16/2011,18.08
3/17/2011,18.11
3/18/2011,18.32
3/21/2011,18.56
3/22/2011,18.52
3/23/2011,18.68
3/24/2011,18.86
3/25/2011,18.97
3/28/2011,18.91
3/29/2011,18.99
3/30/2011,19.13
3/31/2011,19.18
4/1/2011,19.15
4/4/2011,19.14
4/5/2011,19.18
4/6/2011,19.18
4/7/2011,19.13
4/8/2011,18.99
4/11/2011,19.04
4/12/2011,19.09
4/13/2011,19.06
4/14/2011,19.2
4/15/2011,19.35
4/18/2011,19.16
4/19/2011,19.21
4/20/2011,19.43
4/21/2011,19.41
4/25/2011,19.42
4/26/2011,19.53
4/27/2011,19.66
4/28/2011,19.7
4/29/2011,19.78
5/2/2011,19.66
5/3/2011,19.65
5/4/2011,19.61
5/5/2011,19.44
5/6/2011,19.51
5/9/2011,19.61
5/10/2011,19.84
5/11/2011,19.79
