Date,Open,High,Low,Close,Volume
10-01-2010,10789.7,10866.5,10780.6,10829.7,161890656
10-04-2010,10828.85,10853.71,10711.12,10751.27,160366480
10-05-2010,10752.78,10965.61,10752.63,10944.72,216244576
10-06-2010,10936.79,10974.16,10918.57,10967.65,162699616
10-07-2010,10968.41,10998.53,10892.76,10948.58,141922144
10-08-2010,10948.5,11032.17,10929.28,11006.48,152279344
10-11-2010,11006.93,11030.5,10977.9,11010.34,114830032
10-12-2010,11010.79,11053.21,10913.84,11020.4,155152240
10-13-2010,11022.82,11155.23,11022.07,11096.08,224916512
10-14-2010,11096.99,11112.2,11023.54,11094.57,196166560
10-15-2010,11096.01,11141.19,11010.68,11062.78,319209856
10-18-2010,11062.63,11159.05,11054.76,11143.69,190291952
10-19-2010,11139.6,11139.6,10917.62,10978.62,247643296
10-20-2010,10974.52,11152.88,10970.89,11107.97,220140240
10-21-2010,11105.24,11213.54,11066.19,11146.57,178063552
10-22-2010,11146.4,11159,11109.3,11132.6,104574032
10-25-2010,11133.4,11247.6,11132.34,11164.05,168112544
10-26-2010,11163.14,11184.82,11087,11169.46,159038000
10-27-2010,11168.4,11168.4,11020.82,11126.28,167084704
10-28-2010,11127.34,11179.34,11052.6,11113.95,156249232
10-29-2010,11120.45,11131.01,11075.8,11118.49,189651520
11-01-2010,11120.3,11244.27,11062.33,11124.62,150126992
11-02-2010,11125.22,11219.52,11125.22,11188.72,150388224
11-03-2010,11184.88,11226.64,11097.37,11215.13,177579392
11-04-2010,11216.65,11440.37,11216.65,11434.84,234683216
11-05-2010,11435.22,11451.53,11393.52,11444.08,211673104
11-08-2010,11439.54,11439.61,11362.53,11406.84,143993472
11-09-2010,11403.59,11421.14,11303.19,11346.75,161909792
11-10-2010,11342.81,11366.16,11255.02,11357.04,164169600
11-11-2010,11326.69,11326.77,11231.22,11283.1,296662720
11-12-2010,11281.28,11283.7,11143.84,11192.58,217646432
11-15-2010,11194.02,11280.9,11189.1,11201.97,155662240
11-16-2010,11194.7,11194.7,10978.93,11023.5,254565440
11-17-2010,11017.83,11042.16,10990.81,11007.88,160254928
11-18-2010,11010.49,11199.69,11010.34,11181.23,171771616
11-19-2010,11180.77,11206.17,11119.24,11203.55,219399936
11-22-2010,11201.66,11206.05,11054.53,11178.58,152849312
11-23-2010,11177.6,11180.17,10992.17,11036.37,192821504
11-24-2010,11037.35,11195.99,11037.35,11187.28,138278672
11-26-2010,11183.5,11183.5,11067.2,11092,68396120
11-29-2010,11083.8,11083.8,10929.3,11052.5,151525312
11-30-2010,11049.7,11062.6,10943,11006,233767344
12-01-2010,11007.2,11276.1,11007.2,11255.8,202517472
12-02-2010,11255.93,11373.8,11255.85,11362.41,212090432
12-03-2010,11361.9,11388.9,11318.8,11382.1,149439760
12-06-2010,11381.33,11392.08,11350.27,11362.19,122655104
12-07-2010,11363.9,11450.9,11354.1,11359.2,175716720
12-08-2010,11354.3,11389.09,11327.49,11372.48,152511376
12-09-2010,11370.4,11413.4,11331.5,11370.1,167966464
12-10-2010,11370.44,11413.69,11357.72,11410.32,151821264
12-13-2010,11406.16,11480.03,11405.33,11428.56,151191248
12-14-2010,11429.2,11514.1,11428.9,11476.5,149861648
12-15-2010,11475.64,11519.04,11445.67,11457.47,189672880
12-16-2010,11458,11514.84,11421.3,11499.25,163043296
12-17-2010,11499.02,11503.18,11451,11491.91,358304192
12-20-2010,11491.3,11517.07,11442.68,11478.13,125362680
12-21-2010,11478.4,11549.1,11478.3,11533.2,119422832
12-22-2010,11532.17,11566.99,11528.08,11559.49,122041040
12-23-2010,11559.11,11580.84,11542.62,11573.49,100835576
12-27-2010,11572.81,11573.19,11518.44,11555.03,76818464
12-28-2010,11554.8,11591.13,11541.14,11575.54,114100304
12-29-2010,11572.74,11625,11572.66,11585.38,77797416
12-30-2010,11585.3,11594.38,11551.93,11569.71,76817776
12-31-2010,11569.3,11597.4,11530.3,11577.51,93331744
01-03-2011,11577.43,11711.47,11577.35,11670.75,203418224
01-04-2011,11670.9,11698.2,11635.7,11691.2,178633920
01-05-2011,11688.61,11742.68,11652.89,11722.89,169990448
01-06-2011,11716.93,11736.74,11667.46,11697.31,193076448
01-07-2011,11696.9,11726.9,11599.7,11674.8,188724032
01-10-2011,11672.34,11677.33,11573.87,11637.45,150336256
01-11-2011,11638.51,11704.12,11635.48,11671.88,157435504
01-12-2011,11673.62,11782.23,11673.62,11755.44,144961920
01-13-2011,11753.7,11757.25,11700.53,11731.9,161659344
01-14-2011,11732.13,11794.15,11698.83,11787.38,200772960
01-18-2011,11783.82,11858.78,11777.99,11837.93,203393552
01-19-2011,11834.21,11861.24,11798.46,11825.29,166252720
01-20-2011,11823.7,11845.16,11744.77,11822.8,180798624
01-21-2011,11822.95,11905.48,11822.8,11871.84,249479216
01-24-2011,11873.43,11982.94,11867.98,11980.52,184003904
01-25-2011,11980.52,11985.97,11898.74,11977.19,191955904
01-26-2011,11978.85,12020.52,11961.83,11985.44,168323920
01-27-2011,11985.36,12019.53,11971.93,11989.83,167773520
01-28-2011,11990.4,12012.4,11803,11823.7,214172384
01-31-2011,11824.39,11891.93,11817.88,11891.93,206581456
02-01-2011,11892.5,12050.75,11892.5,12040.16,180886736
02-02-2011,12038.27,12057.91,12018.51,12041.97,143435440
02-03-2011,12040.68,12080.54,11981.05,12062.26,143714192
02-04-2011,12061.73,12092.42,12025.78,12092.15,121781440
02-07-2011,12092.38,12188.76,12092.3,12161.63,132956152
02-08-2011,12152.7,12238.79,12150.05,12233.15,126650208
02-09-2011,12229.3,12254.2,12188.2,12239.9,162911568
02-10-2011,12239.66,12239.66,12156.94,12229.29,274439040
02-11-2011,12227.78,12285.94,12180.48,12273.26,184285120
02-14-2011,12266.83,12276.21,12235.91,12268.19,146345968
02-15-2011,12266.75,12267.66,12193.27,12226.64,142584176
02-16-2011,12219.79,12303.16,12219.79,12288.17,146273232
02-17-2011,12287.72,12331.31,12253.24,12318.14,130864672
02-18-2011,12318.7,12391.3,12303.2,12391.3,230037664
02-22-2011,12389.74,12389.82,12176.31,12212.79,201862704
02-23-2011,12211.81,12221.12,12063.43,12105.78,213485040
02-24-2011,12104.56,12129.62,11983.17,12068.5,190863184
02-25-2011,12060.93,12151.03,12060.93,12130.45,147539888
02-28-2011,12130.45,12235.04,12130.15,12226.34,199562192
03-01-2011,12226.49,12261.38,12054.99,12058.02,183238768
03-02-2011,12057.34,12115.12,12018.63,12066.8,147272592
03-03-2011,12068.01,12283.1,12068.01,12258.2,157843696
03-04-2011,12258.88,12271.37,12079.51,12169.88,166695824
03-07-2011,12171.09,12243.44,12041.6,12090.03,176199296
03-08-2011,12085.87,12251.2,12072.21,12214.38,158609216
03-09-2011,12211.16,12257.82,12156.6,12213.09,128359544
03-10-2011,12211.43,12211.43,11974.39,11984.61,180656320
03-11-2011,11977,12087,11936.3,12044.4,143670480
03-14-2011,12042.13,12042.13,11897.31,11993.16,162998528
03-15-2011,11988.69,11988.69,11696.25,11855.42,221932304
03-16-2011,11854.2,11856.7,11555.48,11613.3,254066032
03-17-2011,11614.89,11800.54,11614.82,11774.59,182260608
03-18-2011,11777.2,11927.1,11777.2,11858.5,355046208
03-21-2011,11860.11,12078.3,11860.11,12036.53,143394624
03-22-2011,12036.37,12050.98,12002.85,12018.63,115658280
03-23-2011,12018.4,12116.14,11972.61,12086.02,133940056
03-24-2011,12087.54,12191.18,12087.54,12170.56,131614648
03-25-2011,12170.7,12259.8,12170.7,12220.6,129785024
03-28-2011,12221.2,12272.9,12197.9,12197.9,123069608
03-29-2011,12194.48,12285.41,12173.51,12279.01,129026784
03-30-2011,12280.07,12383.46,12280.07,12350.61,140344992
03-31-2011,12350.76,12381.68,12319.01,12319.73,186141488
04-01-2011,12321,12419.7,12321,12376.7,147598992
04-04-2011,12374.6,12407.41,12369.15,12400.03,114660360
04-05-2011,12402.08,12438.14,12353.34,12393.9,142341904
04-06-2011,12386.66,12450.93,12386.66,12426.75,182348864
04-07-2011,12426.45,12440.56,12328.36,12409.49,158587856
04-08-2011,12409.9,12450.4,12320.7,12380,122823440
04-11-2011,12380.43,12444,12352.88,12381.11,109946896
04-12-2011,12381.19,12381.19,12233,12263.58,137262000
04-13-2011,12263.65,12335.1,12224.45,12270.99,118950768
04-14-2011,12270.24,12305.58,12163.86,12285.15,140668448
04-15-2011,12285.45,12369.27,12272.58,12341.83,234713120
04-18-2011,12339.71,12339.79,12093.89,12201.59,190223504
04-19-2011,12201.44,12275.34,12200.3,12266.75,149869296
04-20-2011,12266.75,12475.53,12263.58,12453.54,203902160
04-21-2011,12453.6,12506.1,12447.6,12506,166638640
04-25-2011,12505.99,12506.22,12446.05,12479.88,128662688
04-26-2011,12480.86,12613.16,12478.14,12595.37,183983968
04-27-2011,12592.23,12708.37,12588.33,12690.96,160554992
04-28-2011,12689.9,12776.14,12674.54,12763.31,148756832
04-29-2011,12763.46,12832.83,12751.13,12810.54,378619520
05-02-2011,12810.16,12876,12784.62,12807.36,150956032
05-03-2011,12806.38,12840.66,12749.99,12807.51,191511472
05-04-2011,12806.29,12806.68,12673.02,12723.58,193720832
05-05-2011,12723.65,12724.56,12521.28,12584.17,176951760
05-06-2011,12580.76,12759.23,12579.93,12638.74,168324080
05-09-2011,12637.83,12722.07,12620.2,12684.68,133943464
05-10-2011,12685.13,12781.06,12681.65,12760.36,155995376
05-11-2011,12745.87,12748.21,12577.21,12630.03,200680256
05-12-2011,12629.96,12718.58,12537.17,12695.92,216505504
05-13-2011,12695.65,12714.5,12543.19,12595.75,169938784
05-16-2011,12594.77,12642.9,12530.81,12548.37,192313984
05-17-2011,12541.33,12541.33,12378.84,12479.58,192831968
05-18-2011,12471.78,12571.15,12443.1,12560.18,175117664
05-19-2011,12561.46,12633.59,12533.46,12605.32,158467744
05-20-2011,12604.7,12604.8,12485.9,12512,174982256
05-23-2011,12511.36,12511.36,12331.77,12381.26,150719904
05-24-2011,12381.57,12422.55,12350.04,12356.21,145923552
05-25-2011,12355.45,12440.03,12309.52,12394.66,145745152
05-26-2011,12391.63,12441.58,12317.92,12402.76,149070048
05-27-2011,12398.06,12483.81,12397.69,12441.58,126025048
05-31-2011,12443.4,12574.29,12443.4,12569.79,208286416
06-01-2011,12569.41,12569.49,12282.42,12290.14,183018112
06-02-2011,12289.61,12306.71,12190.54,12248.55,156373008
06-03-2011,12247.8,12247.87,12104.03,12151.26,157743840
06-06-2011,12151.19,12151.49,12070.66,12089.96,166603424
06-07-2011,12090.18,12178.89,12066.61,12070.81,162606272
06-08-2011,12066.27,12098.36,12024.26,12048.94,156865520
06-09-2011,12049.47,12183.12,12049.09,12124.36,149696512
06-10-2011,12124.17,12124.85,11937.42,11951.91,178307600
06-13-2011,11945.33,12011.66,11917.78,11952.97,153367888
06-14-2011,11951.38,12120.8,11951.38,12076.11,159618960
06-15-2011,12075.12,12075.2,11862.53,11897.27,182496544
06-16-2011,11896.13,11990.02,11875.77,11961.52,189502944
06-17-2011,11962.66,12072.89,11962.51,12004.36,342005984
06-20-2011,12004.28,12099.87,11971.29,12080.38,127250560
06-21-2011,12081.33,12217.33,12081.18,12190.01,147566016
06-22-2011,12189.71,12207.99,12105.85,12109.67,125333560
06-23-2011,12108.35,12108.73,11874.94,12050,206759008
06-24-2011,12049.24,12057.19,11925.42,11934.58,279657472
06-27-2011,11934.66,12098.81,11934.05,12043.56,177920112
06-28-2011,12042.28,12190.43,12042.28,12188.69,135050432
06-29-2011,12187.63,12284.39,12175.86,12261.42,158722064
06-30-2011,12262.25,12427.09,12262.1,12414.34,179983024
07-01-2011,12412.07,12596.13,12404.08,12582.77,141867312
07-05-2011,12583,12601.8,12540.58,12569.87,122990264
07-06-2011,12562.47,12643.24,12539.21,12626.02,132327040
07-07-2011,12627.23,12753.89,12627.23,12719.49,153744448
07-08-2011,12717.9,12717.9,12567.41,12657.2,131148768
07-11-2011,12655.62,12655.84,12470.3,12505.76,133254176
07-12-2011,12505.54,12570.58,12446.88,12446.88,162637648
07-13-2011,12447.33,12611.04,12447.33,12491.61,139967216
07-14-2011,12491.53,12581.98,12414.41,12437.12,140806848
07-15-2011,12437.12,12504.82,12406.09,12479.73,215415536
07-18-2011,12475.11,12475.26,12296.23,12385.16,148949248
07-19-2011,12386.03,12607.56,12385.96,12587.42,167554384
07-20-2011,12583.68,12603.51,12546.56,12571.91,140342688
07-21-2011,12567.07,12751.43,12566.61,12724.41,188411248
07-22-2011,12724.7,12740.9,12644.2,12681.2,136756368
07-25-2011,12679.72,12679.95,12536.19,12592.8,128756448
07-26-2011,12592.12,12593.4,12489.04,12501.3,145135648
07-27-2011,12498.42,12498.65,12289.69,12302.55,182771536
07-28-2011,12301.72,12384.9,12226.83,12240.11,148706768
07-29-2011,12239.36,12243.07,12083.45,12143.24,230916448
08-01-2011,12144.22,12282.42,11998.08,12132.49,182822672
08-02-2011,12129.77,12130.3,11865.56,11866.62,207057664
08-03-2011,11863.74,11904.91,11700.34,11896.44,198216480
08-04-2011,11893.86,11893.94,11372.14,11383.68,300764960
08-05-2011,11383.98,11555.41,11139,11444.61,406307392
08-08-2011,11433.93,11434.09,10809.85,10809.85,479981120
08-09-2011,10810.91,11244.01,10604.07,11239.77,431414656
08-10-2011,11228,11228,10686.49,10719.94,396303392
08-11-2011,10729.85,11278.9,10729.85,11143.31,393188000
08-12-2011,11143.39,11346.52,11142.25,11269.02,226946320
08-15-2011,11269.85,11484.6,11269.85,11482.9,188122368
08-16-2011,11480.48,11488.01,11292.63,11405.93,187802144
08-17-2011,11392.01,11529.67,11322.3,11410.21,171281248
08-18-2011,11406.27,11406.5,10881.6,10990.58,308515648
08-19-2011,10989.75,11086.4,10801.41,10817.65,336370304
08-22-2011,10820.37,11020.55,10820.37,10854.65,226724864
08-23-2011,10854.58,11176.84,10854.43,11176.76,244127904
08-24-2011,11175.78,11331.57,11113.04,11320.71,227383776
08-25-2011,11321.02,11406.39,11106.76,11149.82,255048752
08-26-2011,11145.2,11326.43,10929.2,11284.54,244401296
08-29-2011,11286.65,11541.78,11286.58,11539.25,177539824
08-30-2011,11532.13,11630.07,11429.39,11559.95,182093280
08-31-2011,11560.48,11712.6,11528.08,11613.53,229739824
09-01-2011,11613.3,11716.84,11488.46,11493.57,178110144
09-02-2011,11492.06,11492.14,11211.35,11240.26,174655744
09-06-2011,11237.31,11237.46,10932.53,11139.3,217422368
09-07-2011,11137.63,11414.86,11137.63,11414.86,166315888
09-08-2011,11414.86,11477.3,11283.74,11295.81,173041632
09-09-2011,11294.6,11294.83,10935.64,10992.13,228165408
09-12-2011,10990.01,11062.03,10824.76,11061.12,197158192
09-13-2011,11054.99,11140.85,10987.18,11105.85,189977664
09-14-2011,11106.83,11386.78,10993.84,11246.73,192602736
09-15-2011,11247.72,11433.4,11247.49,11433.18,175521600
09-16-2011,11433.71,11532.47,11407.41,11509.09,434417984
09-19-2011,11506.67,11506.82,11255.25,11401.01,157577296
09-20-2011,11401.47,11550.22,11373.92,11408.66,157061680
09-21-2011,11408.58,11447.86,11117.28,11124.84,221860272
09-22-2011,11121.89,11122.12,10597.14,10733.83,306166944
09-23-2011,10732.77,10808.49,10638.73,10771.48,223138352
09-26-2011,10771.78,11057.49,10771.78,11043.86,225622224
09-27-2011,11045.23,11369.3,11045.23,11190.69,212697216
09-28-2011,11189.1,11317.08,10996.98,11010.9,172410320
09-29-2011,11012.79,11271.14,10965.45,11153.98,191335696
09-30-2011,11152.32,11152.39,10909.52,10913.38,213199504
10-03-2011,10912.1,10979.19,10653.34,10655.3,242868608
10-04-2011,10651.44,10825.44,10404.49,10808.71,267440832
10-05-2011,10800.47,10950.89,10738.1,10939.95,226439408
10-06-2011,10939.87,11132.6,10858.67,11123.33,190039984
10-07-2011,11123.41,11232.05,11051.13,11103.12,188078720
