Date,Open,High,Low,Close,Volume
10/5/2010,1140.68,1162.76,1140.68,1160.75,406884000
10/6/2010,1159.81,1162.33,1154.85,1159.97,0
10/7/2010,1161.57,1163.87,1151.41,1158.06,391055008
10/8/2010,1158.36,1167.73,1155.58,1165.15,387142016
10/11/2010,1165.32,1168.68,1162.02,1165.32,250590000
10/12/2010,1164.28,1172.58,1155.71,1169.77,407616992
10/13/2010,1171.32,1184.38,1171.32,1178.1,496940992
10/14/2010,1177.82,1178.89,1166.71,1173.81,496940992
10/15/2010,1177.47,1181.2,1167.12,1176.19,572491008
10/18/2010,1176.83,1185.53,1174.55,1184.71,445004992
10/19/2010,1178.64,1178.64,1159.71,1165.9,560012032
10/20/2010,1166.74,1182.94,1166.74,1178.17,502788000
10/21/2010,1179.82,1189.43,1171.17,1180.26,462547008
10/22/2010,1180.52,1183.93,1178.99,1183.08,317788992
10/25/2010,1184.74,1196.14,1184.74,1185.62,422137984
10/26/2010,1184.88,1187.11,1177.72,1185.64,420368000
10/27/2010,1183.84,1183.84,1171.7,1182.45,433567008
10/28/2010,1184.47,1189.53,1177.1,1183.78,428345984
10/29/2010,1183.87,1185.46,1179.7,1183.26,353788000
11/1/2010,1185.71,1195.81,1177.65,1184.38,412918016
11/2/2010,1187.86,1195.88,1187.86,1193.57,386620000
11/3/2010,1193.79,1198.3,1183.56,1197.96,466548000
11/4/2010,1198.34,1221.25,1198.34,1221.06,569547008
11/5/2010,1221.2,1227.08,1220.29,1225.85,563745984
11/8/2010,1223.24,1224.57,1217.55,1223.25,393723008
11/9/2010,1223.59,1226.84,1208.94,1213.4,484804000
11/10/2010,1213.14,1218.75,1204.33,1218.71,456129984
11/11/2010,1213.04,1215.45,1204.49,1213.54,393112000
11/12/2010,1209.07,1210.5,1194.08,1199.21,421361984
11/15/2010,1200.44,1207.43,1197.15,1197.75,350336992
11/16/2010,1194.79,1194.79,1173,1178.34,511638016
11/17/2010,1178.33,1183.56,1175.82,1178.59,390478016
11/18/2010,1183.75,1200.29,1183.75,1196.69,468726016
11/19/2010,1196.12,1199.97,1189.44,1199.73,367539008
11/22/2010,1198.07,1198.94,1184.58,1197.84,368950016
11/23/2010,1192.51,1192.51,1176.91,1180.73,413307008
11/24/2010,1183.7,1198.62,1183.7,1198.35,338424992
11/26/2010,1194.16,1194.16,1186.93,1189.4,161382000
11/29/2010,1189.08,1190.34,1173.64,1187.76,367344992
11/30/2010,1182.96,1187.4,1174.14,1180.55,428470016
12/1/2010,1186.6,1207.61,1186.6,1206.07,454811008
12/2/2010,1206.81,1221.89,1206.81,1221.53,497080000
12/3/2010,1219.93,1225.57,1216.82,1224.71,373577984
12/6/2010,1223.87,1225.8,1220.67,1223.12,352736992
12/7/2010,1227.25,1235.05,1223.25,1223.75,697063040
12/8/2010,1225.02,1228.93,1219.5,1228.28,460759008
12/9/2010,1230.14,1234.71,1226.85,1233,452251008
12/10/2010,1233.85,1240.4,1232.58,1240.4,454731008
12/13/2010,1242.52,1246.73,1240.34,1240.46,436124000
12/14/2010,1241.84,1246.59,1238.17,1241.59,413235008
12/15/2010,1241.58,1244.25,1234.01,1235.23,440734016
12/16/2010,1236.34,1243.75,1232.85,1242.87,473681984
12/17/2010,1243.63,1245.81,1239.87,1243.91,463247008
12/20/2010,1245.76,1250.2,1241.51,1247.08,354814016
12/21/2010,1249.43,1255.82,1249.43,1254.6,347967008
12/22/2010,1254.94,1259.39,1254.94,1258.84,128559000
12/23/2010,1257.53,1258.59,1254.05,1256.77,251502000
12/27/2010,1254.66,1258.43,1251.48,1257.54,199247008
12/28/2010,1259.1,1259.9,1256.22,1258.51,247844992
12/29/2010,1258.78,1262.6,1258.78,1259.78,221438000
12/30/2010,1259.44,1261.09,1256.32,1257.88,197072000
12/31/2010,1256.76,1259.34,1254.19,1257.64,179976992
1/3/2011,1257.62,1276.17,1257.62,1271.89,428667008
1/4/2011,1272.95,1274.12,1262.66,1270.2,479641984
1/5/2011,1268.78,1277.63,1265.36,1276.56,476492000
1/6/2011,1275.47,1278.17,1270.43,1273.85,484409984
